"Genus","stage","extinct","mass_ext","log_range","log_bodysize"
"Acanthoparypha",5,1,0,1.0640332,-1.169219086
"Acanthopyge",11,0,0,-1.282184733,0.704645367
"Acanthopyge",16,0,0,-1.459326062,0.704645367
"Acanthopyge",17,0,0,0.370143698,0.704645367
"Acanthopyge",18,0,0,-0.9059852,0.704645367
"Acanthopyge",19,0,0,0.462908685,0.704645367
"Acanthopyge",20,1,0,-1.006880796,0.704645367
"Acastava",16,0,0,0.634036129,-0.200496874
"Acastava",18,1,0,-0.9059852,-0.200496874
"Acaste",9,0,0,-1.025088558,0.049157589
"Acaste",11,0,0,-1.282184733,0.049157589
"Acaste",12,0,0,-1.009377896,0.049157589
"Acaste",13,0,0,0.776641823,0.049157589
"Acaste",15,0,0,0.6183224,0.049157589
"Acaste",16,0,0,0.845853485,0.049157589
"Acaste",17,0,0,-1.725534014,0.049157589
"Acaste",18,1,0,-0.9059852,0.049157589
"Acastella",15,0,0,1.009483518,-0.037197722
"Acastella",16,0,0,0.934474983,-0.037197722
"Acastella",17,1,0,0.773756919,-0.037197722
"Acastellina",18,0,0,-0.9059852,-1.279159969
"Acastellina",19,1,0,-1.300501397,-1.279159969
"Acastoides",16,0,0,0.602123626,-0.02748891
"Acastoides",17,0,0,0.464244276,-0.02748891
"Acastoides",18,1,0,1.259688966,-0.02748891
"Acernaspis",9,0,0,1.167278191,-0.012325858
"Acernaspis",10,1,0,1.024747458,-0.012325858
"Acerocare",1,1,0,-1.305024977,-0.405724162
"Acerocarina",1,1,0,-1.305024977,-1.389555415
"Acidaspis",6,0,0,0.85224274,-0.029754004
"Acidaspis",9,0,0,-1.025088558,-0.029754004
"Acidaspis",10,0,0,0.638648865,-0.029754004
"Acidaspis",11,1,0,1.08030149,-0.029754004
"Acidaspis",19,1,0,-1.300501397,-0.029754004
"Acidiphorus",1,0,0,-1.305024977,-0.632977875
"Acidiphorus",2,0,0,-0.73925552,-0.632977875
"Acidiphorus",3,0,0,0.071049198,-0.632977875
"Acidiphorus",4,0,0,-1.234632203,-0.632977875
"Acidiphorus",5,1,0,-0.945683692,-0.632977875
"Actinopeltis",5,0,0,0.197685759,0.249921444
"Actinopeltis",6,1,0,-0.364187182,0.249921444
"Agerina",1,0,0,0.850220583,-1.101861427
"Agerina",2,0,0,1.654421809,-1.101861427
"Agerina",3,0,0,-0.596780284,-1.101861427
"Agerina",6,1,0,-1.185468733,-1.101861427
"Alceste",6,1,0,-1.185468733,-1.667564017
"Ameura",28,0,0,0,0.269894915
"Ameura",29,0,0,0.653652548,0.269894915
"Ameura",30,1,0,0.928857732,0.269894915
"Amphilichas",4,0,0,0.811097833,0.775806089
"Amphilichas",5,0,0,1.430717948,0.775806089
"Amphilichas",6,0,0,1.12883675,0.775806089
"Amphilichas",7,1,0,1.494972604,0.775806089
"Ampyx",1,0,0,-1.305024977,0.071808088
"Ampyx",2,0,0,1.700951609,0.071808088
"Ampyx",4,0,0,1.145456914,0.071808088
"Ampyx",5,0,0,1.076542757,0.071808088
"Ampyx",6,0,0,0.838117546,0.071808088
"Ampyx",9,0,0,-1.025088558,0.071808088
"Ampyx",15,1,0,0,0.071808088
"Ampyxina",4,0,0,0.89145803,-1.260210158
"Ampyxina",5,0,0,0.361906049,-1.260210158
"Ampyxina",6,1,0,-1.185468733,-1.260210158
"Ampyxinella",6,1,0,0.369685815,-1.08847328
"Ampyxoides",4,0,0,-1.234632203,-2.335258415
"Ampyxoides",5,1,0,-0.945683692,-2.335258415
"Anataphrus",6,1,0,-1.185468733,-0.316915092
"Anchiopella",18,0,0,1.065262214,1.067356866
"Anchiopella",19,1,0,1.089149417,1.067356866
"Anebolithus",4,1,0,-1.234632203,-0.812866456
"Angelina",1,1,0,0.94663804,1.008040483
"Annamitella",1,0,0,-1.305024977,-0.368290749
"Annamitella",2,0,0,0,-0.368290749
"Annamitella",4,1,0,1.067983803,-0.368290749
"Apatokephaloides",1,1,0,-0.156536272,-1.113713641
"Apatokephalops",1,1,0,0.711696364,-0.937373379
"Apatokephalus",1,0,0,1.064497229,0.458098059
"Apatokephalus",2,0,0,1.671545002,0.458098059
"Apatokephalus",4,1,0,-1.234632203,0.458098059
"Araiopleura",1,1,0,-1.305024977,-2.29833233
"Archegonus",23,0,0,-1.201483295,-0.24383316
"Archegonus",24,1,0,0.389246213,-0.24383316
"Arctinurus",9,0,0,0.144221206,1.857977618
"Arctinurus",10,0,0,0.539657038,1.857977618
"Arctinurus",11,0,0,0.852745865,1.857977618
"Arctinurus",12,1,0,-1.009377896,1.857977618
"Areia",4,1,0,-1.234632203,-0.037820166
"Asaphellina",1,0,0,0.866567377,1.061020731
"Asaphellina",2,1,0,-0.73925552,1.061020731
"Asaphellus",1,0,0,1.078759002,1.479967117
"Asaphellus",2,0,0,1.702141262,1.479967117
"Asaphellus",4,1,0,1.067923044,1.479967117
"Asaphopsis",1,1,0,0.886424434,1.091889182
"Asaphopsoides",1,0,0,-1.305024977,1.013141936
"Asaphopsoides",2,1,0,1.676260717,1.013141936
"Asaphus",4,0,0,1.148106715,1.151747064
"Asaphus",5,0,0,-0.945683692,1.151747064
"Asaphus",6,1,0,-1.185468733,1.151747064
"Asaphus (Neoasaphus)",4,1,0,0.406648795,1.151747064
"Asteropyge",17,0,0,-1.725534014,0.496911274
"Asteropyge",18,0,0,-0.9059852,0.496911274
"Asteropyge",19,1,0,0.830715019,0.496911274
"Astroproetus",5,0,0,-0.945683692,0.129117835
"Astroproetus",9,0,0,0.814299654,0.129117835
"Astroproetus",10,1,0,-1.318162762,0.129117835
"Astycoryphe",17,0,0,0.371106756,-1.061446831
"Astycoryphe",18,0,0,-0.9059852,-1.061446831
"Astycoryphe",19,1,0,0.05164428,-1.061446831
"Atractopyge",4,0,0,1.093570091,1.197443166
