"Genus","stage","extinct","mass_ext","log_range","log_bodysize"
"Acernaspis",8,0,1,1.244634794,-0.012325858
"Astroproetus",8,0,1,-0.594140486,0.129117835
"Aulacopleura",8,0,1,-1.306033986,-0.382119332
"Brachymetopus",22,0,1,0.646389885,-0.363078272
"Brachymetopus (Brachymetopus)",22,0,1,-1.254637911,-1.406731112
"Brongniartella",8,1,1,-1.306033986,1.901949861
"Bumastus",8,0,1,1.198081482,1.641457841
"Calymene",8,0,1,1.282163887,1.085798263
"Chaunoproetus",22,1,1,0.758683966,-0.648079076
"Cryphops",22,1,1,0,-0.554563315
"Dalmanitina",8,0,1,0.404975972,0.941969345
"Decoroproetus",8,0,1,0.812944097,-0.177639741
"Deiphon",8,0,1,0.805117819,-0.106779891
"Diacalymene",8,0,1,0.159017681,0.174790464
"Diacoryphe",22,0,1,0,-0.652273147
"Dianops",22,1,1,0.817042245,-0.220448988
"Dicranopeltis",8,0,1,0.804429297,1.150264766
"Encrinurus",8,0,1,0.66194578,-0.021538147
"Eophacops",8,0,1,-1.306033986,-0.080508727
"Failleana",8,0,1,0.052802625,0.293080221
"Hemiarges",8,0,1,0.65386453,-1.688239901
"Kosovopeltis",8,0,1,-0.625111718,1.278422966
"Leonaspis",8,0,1,1.323076863,-0.250405316
"Lichas",8,1,1,0.052802625,-0.191237525
"Miraspis",8,0,1,0.804429297,-0.038442939
"Odontopleura",8,0,1,-1.306033986,0.109998212
"Perliproetus",22,1,1,0.808010411,0.119475903
"Platylichas",8,0,1,-0.594140486,0.450726989
"Primaspis",8,0,1,-1.306033986,-1.38726236
"Proetides",22,0,1,-1.254637911,0.363590065
"Proetus",8,0,1,0.852962462,-0.295455813
"Pseudoproetus",8,0,1,-1.306033986,0.025799705
"Skemmatocare",22,1,1,-1.254637911,-0.687083103
"Skemmatopyge",22,1,1,-1.254637911,-1.975473733
"Solariproetus",8,1,1,-1.122914781,-0.735508135
"Stenopareia",8,0,1,0.965296161,0.97957952
"Thebanaspis",8,0,1,-1.306033986,-1.535255885
"Trimerocephalus",22,1,1,0.444662294,-0.316915092
"Typhloproetus",22,1,1,0.758683966,-0.775648886
"Waribole",22,0,1,0,-0.872478506
